id,title,author,old_cover,new_cover
14422,"Durood Sharif Parhne ka Shari Tariqa - درود شریف پڑھنے کا شرعی طریقہ","Maulana Sarfaraz Khan Safdar","https://besturdubooks.net/wp-content/uploads/2014/02/durood-sharif-parhne-ka-shari-tariqa.jpg","https://besturdubooks.net/wp-content/uploads/2013/12/Sood_Khor_"
14429,"Mustanad Namaz e Hanafi By Maulana Imdadullah Anwar مستند نماز حنفی","Maulana Imdadullah Anwar","https://besturdubooks.net/wp-content/uploads/2013/10/Mustanad-Namaz-e-Hanafi.jpg","https://besturdubooks.net/wp-content/uploads/2024/12/Dars-e-Niz"
14426,"Sood Khor se Allah aur Rasool ka Elan e Jang - سود خور سے اللہ اور رسول کا اعلان جنگ","Mufti Rasheed Ahmad Ludhianvi","https://besturdubooks.net/wp-content/uploads/2013/12/Sood_Khor_Se_Allah_Aur_Rasool_Ka_Elan_E_Jang.jpg","https://besturdubooks.net/wp-content/uploads/2024/07/ALIYAH_BAN"
13878,"Ahadees e Khair ul Anam – Ashraf ul Kalam By Maulana Ashraf Ali Thanvi احادیث خیر الانام – اشرف الکلام","Maulana Ashraf Ali Thanvi","https://besturdubooks.net/wp-content/uploads/2024/12/Dars-e-Nizami.png","https://besturdubooks.net/wp-content/uploads/2021/03/FAIZ_UL_MU"
15059,"بیان الفوائد اردو شرح شرح العقائد مولانا مجیب اللہ صاحب گونڈوی","نامعلوم","https://besturdubooks.net/wp-content/uploads/2024/07/ALIYAH_BANAT_TALIBAT_WIFAQ.jpg","https://besturdubooks.net/wp-content/uploads/2014/05/rozy-kay-m"
13941,"Faiz ul Munim Urdu Sharha Muqaddimah e Muslim - فیض المنعم اردو شرح مقدمہ مسلم","Maulana Saeed Ahmad Palanpuri","https://besturdubooks.net/wp-content/uploads/2021/03/FAIZ_UL_MUNIM_URDU_SHARHA_MUQADDIMAH_E_MUSLIM.jpg","https://besturdubooks.net/wp-content/uploads/2016/06/ramzan-ul-"
14406,"Rozy kay Masail ka Encyclopedia روزے کے مسائل کا انسائیکلوپیڈیا","Mufti Inam ul Haq Qasmi","https://besturdubooks.net/wp-content/uploads/2014/05/rozy-kay-masail-ka-encyclopedia.jpg","https://besturdubooks.net/wp-content/uploads/2013/12/Tasawwuf-E"
14376,"Ramzan ul Mubarak aur uske Taqaze By Allama Abul Hasan Ali Nadwi رمضان المبارک اور اسکے تقاضے","Maulana Abul Hasan Ali Nadvi","https://besturdubooks.net/wp-content/uploads/2016/06/ramzan-ul-mubarak-awr-uske-taqaze-1.jpg","https://besturdubooks.net/wp-content/uploads/2015/12/jadeed-mal"
14866,"Tasawwuf e Islam By Maulana Abdul Majid Daryabadi تصوف اسلام","Maulana Abdul Majid Daryabadi","https://besturdubooks.net/wp-content/uploads/2013/12/Tasawwuf-E-Islam.jpg","https://besturdubooks.net/wp-content/uploads/2020/10/RAJAM_KI_S"
14385,"Jadeed Maliyati Idaray By Maulana Khalid Saifullah Rahmani جدید مالیاتی ادارے","Maulana Khalid Saifullah Rahmani","https://besturdubooks.net/wp-content/uploads/2015/12/jadeed-maliyati-idaray.jpg","https://besturdubooks.net/wp-content/uploads/2019/01/FIQH_ISLAM"
